"gene_name","protein_id","mrna_id","ccds_id","ec_num","trembl_id","swissprot_id"
"MLLT4","NP_001035089.1","NM_001040000.2","47517.1","-","Q59FP0 ","-"
"MLLT4","NP_001035090.1","NM_001040001.1","47516.1","-","Q59FP0 ","P55196 "
"MLLT4","NP_005927.2","NM_005936.2","5303.1","-","Q59FP0 ;  ","P55196 "
"MMP1","NP_002412.1","NM_002421.2","8322.1","3.4.24.7","Q53G95","P03956"
"MMP10","NP_002416.1","NM_002425.1","8321.1","3.4.24.22","-","P09238"
"MMP11","NP_005931.2","NM_005940.3","13816.1","3.4.24.-","B3KQS8","P24347"
"MMP12","NP_002417.2","NM_002426.3","-","3.4.24.65","-","P39900"
"MMP13","NP_002418.1","NM_002427.2","8324.1","3.4.24.-","-","P45452"
"MMP14","NP_004986.1","NM_004995.2","9577.1","3.4.24.80","-","P50281"
"MMP2","NP_001121363.1","NM_001127891.1","45487.1","3.4.24.24 ","-","P08253"
"MMP2","NP_004521.1","NM_004530.4","10752.1","3.4.24.24","-","P08253"
"MMP3","NP_002413.1","NM_002422.3","8323.1","3.4.24.17","-","P08254 "
"MMP9","NP_004985.2","NM_004994.2","13390.1","3.4.24.35","-","P14780 "
"MRPL11","NP_057134.1","NM_016050.3","8139.1","-","-","Q9Y3B7"
"MRPL11","NP_733934.1","NM_170738.2","44655.1","-","-","Q32P46"
"MRPL11","NP_733935.1","NM_170739.2","8140.1","-","A6NLT0","Q9Y3B7"
"MRPS2","NP_057118.1","NM_016034.3","6990.1","-","-","Q9Y399"
"MRPS23","NP_057154.2","NM_016070.2","11598.1","-","-","Q9Y3D9"
"MSH2","NP_000242.1","NM_000251.1","1834.1","-","-","P43246"
"MSLN","NP_005814.2","NM_005823.4","45370.1","-","-","Q13421"
"MSLN","NP_037536.2","NM_013404.3","32356.1","-","-","Q13421"
"MSN","NP_002435.1","NM_002444.2","14382.1","-","-","P26038"
"MSX1","NP_002439.2","NM_002448.3","3378.2","-","-","P28360"
"MT1G","NP_005941.1","NM_005950.1","10766.1","-","-","P13640"
"MUL1","NP_078820.2","NM_024544.2","208.1","-","-","Q969V5"
"MYC","NP_002458.2","NM_002467.4","6359.2","-","-","P01106 "
"MYCL1","NP_001028253.1","NM_001033081.1","30682.1","-","-","P12524"
"MYCL1","NP_001028254.1","NM_001033082.1","30682.1","-","-","P12524"
"MYCL1","NP_005367.1","NM_005376.3","44117.1","-","-","P12524"
"MYCN","NP_005369.2","NM_005378.4","1687.1","-","Q53XS5 ","P04198 "
"MYH9","NP_002464.1","NM_002473.3","13927.1","-","Q60FE2","P35579"
"MYOD1","NP_002469.2","NM_002478.4","7826.1","-","-","P15172 "
"NAE1","NP_001018169.1","NM_001018159.1","42171.1","-","A6NFN4","Q13564"
