"id","alias","descrip","other"
"GLRA3","","glycine receptor, alpha 3","glycine receptor subunit alpha-3|glycine receptor, alpha-3 polypeptide|ligand gated ion channel"
"FAM192A","C16orf94, CDA018, CDA10, NIP30","family with sequence similarity 192, member A","NEFA-interacting nuclear protein NIP30|protein FAM192A"
"PHC3","EDR3, HPH3","polyhomeotic homolog 3 (Drosophila)","early development regulator 3|early development regulatory protein 3|homolog of polyhomeotic 3|polyhomeotic like 3|polyhomeotic-like protein 3"
"FAM188A","C10orf97, CARP, DERP5, MST126, MSTP126, my042","family with sequence similarity 188, member A","CARD-containing protein|caspase recruitment domain containing pro-apoptotic protein|dermal papilla-derived protein 5|protein FAM188A"
"WWC2","BOMB","WW and C2 domain containing 2","BH-3-only member B|BH3-only member B protein|WW domain-containing protein 2|WW, C2 and coiled-coil domain containing 2|protein WWC2"
"C14orf159","","chromosome 14 open reading frame 159","UPF0317 protein C14orf159, mitochondrial"
"NAA25","C12orf30, MDM20, NAP1","N(alpha)-acetyltransferase 25, NatB auxiliary subunit","N-alpha-acetyltransferase 25, NatB auxiliary subunit|N-terminal acetyltransferase B complex subunit NAA25|mitochondrial distribution and morphology 20|natB complex subunit MDM20"
"UBTD1","","ubiquitin domain containing 1","ubiquitin domain-containing protein 1"
"FOXRED2","ERFAD","FAD-dependent oxidoreductase domain containing 2","FAD-dependent oxidoreductase domain-containing protein 2|endoplasmic reticulum flavoprotein associated with degradation"
"TMEM62","","transmembrane protein 62",""
"MYO15B","MYO15BP","myosin XVB","myosin XVB pseudogene|unconventional myosin XVBP pseudogene"
"NRSN2","C20orf98, dJ1103G7.6","neurensin 2","neurensin-2"
"SLC8B1","NCKX6, NCLX, SLC24A6","solute carrier family 8 (sodium/lithium/calcium exchanger), member B1","Na(+)/K(+)/Ca(2+)-exchange protein 6|sodium/calcium exchanger protein, mitochondrial|sodium/potassium/calcium exchanger 6, mitochondrial|solute carrier family 24 (sodium/lithium/calcium exchanger), member 6|solute carrier family 24 (sodium/potassium/calcium exchanger), member 6|solute carrier family 24 member 6|solute carrier family 8 member B1"
"PANK2","C20orf48, HARP, HSS, NBIA1, PKAN","pantothenate kinase 2","Hallervorden-Spatz syndrome|pantothenate kinase 2, mitochondrial|pantothenic acid kinase 2"
"FBXL18","Fbl18","F-box and leucine-rich repeat protein 18","F-box/LRR-repeat protein 18"
"SEMA6D","","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D","semaphorin-6D"
"ZNF556","","zinc finger protein 556",""
"CSRNP3","FAM130A2, PPP1R73, TAIP-2, TAIP2","cysteine-serine-rich nuclear protein 3","CSRNP-3|TGF beta induced apotosis protein 2|TGF-beta induced apoptosis protein 2|TGF-beta-induced apoptosis protein 2|cysteine/serine-rich nuclear protein 3|family with sequence similarity 130, member A2|protein phosphatase 1, regulatory subunit 73"
"ANP32A-IT1","C15orf28, HsT18971, NCRNA00321","ANP32A intronic transcript 1","ANP32A intronic transcript 1 (non-protein coding)"
"TRPM3","GON-2, LTRPC3, MLSN2","transient receptor potential cation channel, subfamily M, member 3","LTrpC-3|long transient receptor potential channel 3|melastatin 2|melastatin-2|transient receptor potential cation channel subfamily M member 3"
"FAM106A","","family with sequence similarity 106, member A",""
"GPR157","","G protein-coupled receptor 157","probable G-protein coupled receptor 157"
"RPS2P45","RPS2_21_1492","ribosomal protein S2 pseudogene 45",""
"CEBPA-AS1","","CEBPA antisense RNA 1 (head to head)","CEBPA antisense RNA 1 (non-protein coding)"
"PGAP1","Bst1, ISPD3024, MRT42, SPG67","post-GPI attachment to proteins 1","GPI deacylase|GPI inositol-deacylase|hPGAP1|post-GPI attachment to proteins factor 1"
"LRRTM4","","leucine rich repeat transmembrane neuronal 4","leucine-rich repeat transmembrane neuronal 4 protein|leucine-rich repeat transmembrane neuronal protein 4"
"GNL3LP1","GNL3LP","guanine nucleotide binding protein-like 3 (nucleolar)-like pseudogene 1",""
"ATF7IP2","MCAF2","activating transcription factor 7 interacting protein 2","ATF7-interacting protein 2|MBD1-containing chromatin associated factor 2|MBD1-containing chromatin-associated factor 2|activating transcription factor 7-interacting protein 2"
