"id","alias","descrip","other"
"MTX3","","metaxin 3","metaxin-3"
"IFNG","IFG, IFI","interferon, gamma","IFN-gamma|immune interferon|interferon gamma"
"IFNGR1","CD119, IFNGR, IMD27A, IMD27B","interferon gamma receptor 1","AVP, type 2|CD119 antigen|CDw119|IFN-gamma receptor 1|IFN-gamma-R1|antiviral protein, type 2|immune interferon receptor 1|interferon-gamma receptor alpha chain"
"EYS","C6orf178, C6orf179, C6orf180, EGFL10, EGFL11, RP25, SPAM, bA166P24.2, bA307F22.3, bA74E24.1, dJ1018A","eyes shut homolog (Drosophila)","EGF-like-domain, multiple 10|EGF-like-domain, multiple 11|epidermal growth factor-like protein 10|epidermal growth factor-like protein 11|protein eyes shut homolog|protein spacemaker homolog"
"IFNGR2","AF-1, IFGR2, IFNGT1, IMD28","interferon gamma receptor 2 (interferon gamma transducer 1)","IFN-gamma receptor 2|IFN-gamma-R2|interferon gamma receptor 2|interferon gamma receptor accessory factor 1|interferon gamma receptor accessory factor-1|interferon gamma receptor beta chain|interferon gamma transducer 1"
"APOC4","APO-CIV, APOC-IV","apolipoprotein C-IV","apolipoprotein C4"
"MACC1","7A5, SH3BP4L","metastasis associated in colon cancer 1","SH3 domain-containing protein 7a5|metastasis-associated in colon cancer protein 1|putative binding protein 7a5"
"GNAT3","GDCA","guanine nucleotide binding protein, alpha transducing 3","guanine nucleotide-binding protein G(t) subunit alpha-3|gustducin alpha-3 chain"
"MOGAT3","DC7, DGAT2L7, MGAT3","monoacylglycerol O-acyltransferase 3","2-acylglycerol O-acyltransferase 3|acyl coenzyme A:monoacylglycerol acyltransferase 3|acyl-CoA:monoacylglycerol acyltransferase 3|diacylglycerol O-acyltransferase candidate 7|diacylglycerol acyltransferase 2-like protein 7"
"FAM71F2","FAM137B","family with sequence similarity 71, member F2","family with sequence similarity 137, member B|protein FAM71F2"
"KLRG2","CLEC15B","killer cell lectin-like receptor subfamily G, member 2","C-type lectin domain family 15 member B|C-type lectin domain family 15, member B|killer cell lectin-like receptor subfamily G member 2"
"IFNW1","","interferon, omega 1","IFN-omega 1, interferon omega-1|interferon alpha-II-1|interferon omega-1"
"LOC346887","","similar to solute carrier family 16 (monocarboxylic acid transporters), member 14",""
"ADGRD2","GPR144, PGR24","adhesion G protein-coupled receptor D2","G protein-coupled receptor 144|G protein-coupled receptor PGR24|G-protein coupled receptor GPR144|G-protein coupled receptor PGR24"
"APOD","","apolipoprotein D","apo-D"
"KIF24","C9orf48, bA571F15.4","kinesin family member 24","kinesin-like protein KIF24"
"IGFBPL1","IGFBP-RP4, IGFBPRP4, bA113O24.1","insulin-like growth factor binding protein-like 1","IGFBP-related protein 10|insulin-like growth factor binding protein related protein 4|insulin-like growth factor-binding protein-like 1|insulin-like growth factor-binding-related protein 4"
"MURC","CAVIN4, cavin-4","muscle-related coiled-coil protein","muscle-restricted coiled-coil protein"
"ITIH6","ITIH5L, UNQ6369, dJ14O9.1","inter-alpha-trypsin inhibitor heavy chain family, member 6","ITI-like protein|inter-alpha inhibitor H5-like protein|inter-alpha-trypsin inhibitor heavy chain H5-like protein|inter-alpha-trypsin inhibitor heavy chain H6"
"LANCL3","","LanC lantibiotic synthetase component C-like 3 (bacterial)","lanC-like protein 3"
"CCDC160","","coiled-coil domain containing 160","UPF0625 coiled-coil domain-containing protein ENSP00000359845|coiled-coil domain-containing protein 160"
"IFRD1","PC4, TIS7","interferon-related developmental regulator 1","12-O-tetradecanoylphorbol-13-acetate-induced sequence 7|TPA induced sequence 7|nerve growth factor-inducible protein PC4|pheochromocytoma cell-4"
"IGBP1","ALPHA-4, IBP1","immunoglobulin (CD79A) binding protein 1","B cell signal transduction molecule alpha 4|B-cell signal transduction molecule alpha 4|CD79a-binding protein 1|bA351K23.1 (immunoglobulin binding protein 1 (CD79A) )|immunoglobulin-binding protein 1|protein alpha-4|protein phosphatase 2/4/6 regulatory subunit|protein phosphatase 2A, regulatory subunit alpha-4|renal carcinoma antigen NY-REN-16"
"LRRTM1","","leucine rich repeat transmembrane neuronal 1","leucine-rich repeat transmembrane neuronal 1 protein|leucine-rich repeat transmembrane neuronal protein 1"
"CATSPER3","CACRC","cation channel, sperm associated 3","ca(v)-like protein|calcium channel repeat containing 1|cation channel sperm-associated protein 3|one-repeat calcium channel-like protein|putative ion channel CatSper3"
"NME9","NM23-H9, TXL-2, TXL2, TXNDC6","NME/NM23 family member 9","NME family member 9|NME gene family member 9|thioredoxin domain containing 6|thioredoxin domain-containing protein 6|thioredoxin-like 2|thioredoxin-like protein 2"
"C6orf52","","chromosome 6 open reading frame 52","putative uncharacterized protein C6orf52"
"AMIGO2","ALI1, AMIGO-2, DEGA","adhesion molecule with Ig-like domain 2","alivin 1|amphoterin induced gene 2|amphoterin-induced protein 2|differentially expressed in gastric adenocarcinoma|differentially expressed in gastric adenocarcinomas|transmembrane protein AMIGO2"
"IGF1","IGF-IA, IGFI, IGF1","insulin-like growth factor 1 (somatomedin C)","IGF-IA|IGF-IB|MGF|insulin-like growth factor I|insulin-like growth factor IA|insulin-like growth factor IB|mechano growth factor|somatomedin-C"
"EP400NL","","EP400 N-terminal like","E1A binding protein p400 pseudogene"
"IGF1R","CD221, IGFIR, IGFR, JTK13","insulin-like growth factor 1 receptor","IGF-I receptor|insulin-like growth factor I receptor|soluble IGF1R variant 1|soluble IGF1R variant 2"
"MGC40069","","uncharacterized protein MGC40069",""
"ANKDD1A","","ankyrin repeat and death domain containing 1A","ankyrin repeat and death domain-containing protein 1A"
"APOE","AD2, APO-E, LDLCQ5, LPG","apolipoprotein E","apolipoprotein E3"
"ARPIN","C15orf38","actin-related protein 2/3 complex inhibitor","UPF0552 protein C15orf38|arp2/3 inhibition protein|arpin"
"LINC01193","CT60","long intergenic non-protein coding RNA 1193","cancer/testis antigen 60 (non-protein coding)"
"CLEC18A","MRCL, MRCL1, MRLP2","C-type lectin domain family 18, member A","C-type lectin domain family 18 member A|mannose receptor-like 1|mannose receptor-like protein 2|mannose receptor-like protein 3"
"CTU2","C16orf84, NCS2, UPF0432","cytosolic thiouridylase subunit 2 homolog (S. pombe)","cytoplasmic tRNA 2-thiolation protein 2"
"IGF2R","CD222, CIMPR, M6P-R, MPR1, MPRI","insulin-like growth factor 2 receptor","300 kDa mannose 6-phosphate receptor|CI Man-6-P receptor|CI-MPR|IGF-II receptor|M6P/IGF2 receptor|M6P/IGF2R|M6PR|MPR 300|cation-independent mannose-6 phosphate receptor|cation-independent mannose-6-phosphate receptor|insulin-like growth factor II receptor|mannose 6-phosphate/insulin-like growth factor-II receptor"
"CCDC144CP","CCDC144C","coiled-coil domain containing 144C, pseudogene","coiled-coil domain containing 144 pseudogene"
"FAM195B","","family with sequence similarity 195, member B","protein FAM195B"
"IGFALS","ACLSD, ALS","insulin-like growth factor binding protein, acid labile subunit","insulin-like growth factor binding protein complex acid labile chain|insulin-like growth factor-binding protein complex acid labile subunit"
"FAM159A","PRO7171, WWLS2783","family with sequence similarity 159, member A","membrane protein FAM159A"
"IGFBP1","AFBP, IBP1, IGF-BP25, PP12, hIGFBP-1","insulin-like growth factor binding protein 1","IBP-1|IGF-binding protein 1|IGFBP-1|alpha-pregnancy-associated endometrial globulin|amniotic fluid binding protein|binding protein-25|binding protein-26|binding protein-28|growth hormone independent-binding protein|insulin-like growth factor-binding protein 1|placental protein 12"
"FAM131C","C1orf117","family with sequence similarity 131, member C","protein FAM131C"
"IGFBP2","IBP2, IGF-BP53","insulin-like growth factor binding protein 2, 36kDa","IBP-2|IGF-binding protein 2|IGFBP-2|insulin-like growth factor-binding protein 2"
"IGFBP3","BP-53, IBP3","insulin-like growth factor binding protein 3","IBP-3|IGF-binding protein 3|IGFBP-3|acid stable subunit of the 140 K IGF complex|binding protein 29|binding protein 53|growth hormone-dependent binding protein|insulin-like growth factor-binding protein 3"
"C22orf34","","chromosome 22 open reading frame 34","uncharacterized protein C22orf34"
"GEN1","Gen","GEN1 Holliday junction 5' flap endonuclease","Gen endonuclease homolog 1|Gen homolog 1, endonuclease|Holliday junction resolvase|flap endonuclease GEN homolog 1"
"IGFBP4","BP-4, HT29-IGFBP, IBP4, IGFBP-4","insulin-like growth factor binding protein 4","IBP-4|IGF-binding protein 4|insulin-like growth factor-binding protein 4"
"FTCDNL1","FONG","formiminotransferase cyclodeaminase N-terminal like","formiminotransferase N-terminal sub-domain containing"
"LNP1","NP3","leukemia NUP98 fusion partner 1",""
"CCDC37","MIA1","coiled-coil domain containing 37","coiled-coil domain-containing protein 37"
"NPHP3-AS1","NCRNA00119","NPHP3 antisense RNA 1","NPHP3 antisense RNA 1 (non-protein coding)"
"IGFBP5","IBP5","insulin-like growth factor binding protein 5","IBP-5|IGF-binding protein 5|IGFBP-5|insulin-like growth factor-binding protein 5"
"LOC348817","","uncharacterized LOC348817",""
"IGFBP6","IBP6","insulin-like growth factor binding protein 6","IBP-6|IGF binding protein 6|IGF-binding protein 6|IGFBP-6|insulin-like growth factor-binding protein 6"
"NIPAL4","ARCI6, ICHTHYIN, ICHYN","NIPA-like domain containing 4","NIPA-like protein 4|magnesium transporter NIPA4|non-imprinted in Prader-Willi/Angelman syndrome region protein 4"
"HCN1","BCNG-1, BCNG1, EIEE24, HAC-2","hyperpolarization activated cyclic nucleotide gated potassium channel 1","brain cyclic nucleotide gated channel 1|brain cyclic nucleotide-gated channel 1|hyperpolarization activated cyclic nucleotide-gated potassium channel 1|potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1"
"NUP43","bA350J20.1, p42","nucleoporin 43kDa","nucleoporin Nup43|nup107-160 subcomplex subunit Nup43"
"IGFBP7","AGM, FSTL2, IBP-7, IGFBP-7, IGFBP-7v, IGFBPRP1, MAC25, PSF, RAMSVPS, TAF","insulin-like growth factor binding protein 7","IGF-binding protein 7|IGFBP-rP1|PGI2-stimulating factor|angiomodulin|insulin-like growth factor-binding protein 7|prostacyclin-stimulating factor|tumor-derived adhesion factor"
"CYR61","CCN1, GIG1, IGFBP10","cysteine-rich, angiogenic inducer, 61","CCN family member 1|IBP-10|IGF-binding protein 10|IGFBP-10|cysteine-rich heparin-binding protein 61|cysteine-rich, anigogenic inducer, 61|insulin-like growth factor-binding protein 10|protein CYR61"
"LINC00265","NCRNA00265","long intergenic non-protein coding RNA 265","NCRNA00265-1"
"DPY19L2P2","","DPY19L2 pseudogene 2","dpy-19-like 2 pseudogene 2"
"LOC349160","","uncharacterized LOC349160",""
"IGH","IGD1.1@, IGH@, IGHD@, IGHDY1, IGHJ, IGHJ@, IGHV, IGHV@, IGH","immunoglobulin heavy locus","D (diversity) region of heavy chains|J (joining) region of heavy chains|immunglobulin heavy chain variable region|immunoglobulin heavy diversity cluster|immunoglobulin heavy diversity group|immunoglobulin heavy diversity locus|immunoglobulin heavy joining cluster|immunoglobulin heavy joining group|immunoglobulin heavy polypeptide, joining region|immunoglobulin heavy variable cluster|immunoglobulin heavy variable group"
"IGHA1","IgA1","immunoglobulin heavy constant alpha 1","immunoglobulin alpha 1|immunoglobulin heavy chain constant region alpha 1"
"IGHD","","immunoglobulin heavy constant delta","constant region of heavy chain of IgD"
"NMNAT3","FKSG76, PNAT-3, PNAT3","nicotinamide nucleotide adenylyltransferase 3","NMN adenylyltransferase 3|NMN/NaMN adenylyltransferase 3|NaMN adenylyltransferase 3|nicotinamide mononucleotide adenylyltransferase 3|nicotinamide-nucleotide adenylyltransferase 3|nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3|nicotinate-nucleotide adenylyltransferase 3|pyridine nucleotide adenylyltransferase 3"
"IGHE","IgE","immunoglobulin heavy constant epsilon","constant region of heavy chain of IgE|immunoglobulin epsilon"
"IGHG1","","immunoglobulin heavy constant gamma 1 (G1m marker)","constant region of heavy chain of IgG1|immunoglobulin gamma 1 (Gm marker)"
"APOH","B2G1, B2GP1, BG","apolipoprotein H (beta-2-glycoprotein I)","APC inhibitor|B2GPI|activated protein C-binding protein|anticardiolipin cofactor|apo-H|beta(2)GPI|beta-2-glycoprotein 1"
"IGHM","AGM1, MU, VH","immunoglobulin heavy constant mu","constant region of heavy chain of IgM|immunoglobulin mu chain"
"IGHMBP2","CATF1, CMT2S, HCSA, HMN6, SMARD1, SMUBP2, ZFAND7","immunoglobulin mu binding protein 2","ATP-dependent helicase IGHMBP2|DNA-binding protein SMUBP-2|GF-1|cardiac transcription factor 1|glial factor 1|immunoglobulin mu-binding protein 2|zinc finger, AN1-type domain 7"
"ACADS","ACAD3, SCAD","acyl-CoA dehydrogenase, C-2 to C-3 short chain","acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|short-chain specific acyl-CoA dehydrogenase, mitochondrial|unsaturated acyl-CoA reductase"
"APP","AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, APP","amyloid beta (A4) precursor protein","alzheimer disease amyloid protein|amyloid beta A4 protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|cerebral vascular amyloid peptide|peptidase nexin-II|preA4|protease nexin-II"
"JCHAIN","IGCJ, IGJ, JCH","joining chain of multimeric IgA and IgM","IgJ chain|J chain|immunoglobulin J chain|immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"
"IGKC","HCAK1D, Km, IGKC","immunoglobulin kappa constant","immunoglobulin kappa (invariant region)|immunoglobulin kappa constant region|immunoglobulin kappa light chain (VJ)"
"DNAAF3","C19orf51, CILD2, DAB1, PCD, PF22","dynein, axonemal, assembly factor 3","UPF0470 protein C19orf51|dynein assembly factor 3, axonemal"
"GATS","STAG3OS","GATS, stromal antigen 3 opposite strand","STAG3 opposite strand transcript protein|opposite strand transcription unit to STAG3|putative protein GATS|stromal antigen 3 opposite strand"
"HCG26","3.8-1, NCRNA00191, bCX205D4.4, bPG181B23.4","HLA complex group 26 (non-protein coding)","MHC class I mRNA fragment 3.8-1"
"HCP5B","HCP5P10, P5-10, P5.9","HLA complex P5B (non-protein coding)","HLA complex P5 pseudogene 10|P5-1 pseudogene"
"C6orf58","LEG1","chromosome 6 open reading frame 58","UPF0762 protein C6orf58|protein LEG1 homolog"
"APRT","AMPD, APRT","adenine phosphoribosyltransferase","AMP diphosphorylase|AMP pyrophosphorylase|transphosphoribosidase"
"LCE1B","LEP2, SPRL2A","late cornified envelope 1B","late cornified envelope protein 1B|late envelope protein 2|small proline rich-like (epidermal differentiation complex) 2A|small proline-rich-like epidermal differentiation complex protein 2A"
"LCE1E","LEP5","late cornified envelope 1E","late cornified envelope protein 1E|late envelope protein 5"
"KAAG1","RU2AS","kidney associated antigen 1","RU2 antisense gene protein|kidney-associated antigen 1"
"ANKRD37","Lrp2bp","ankyrin repeat domain 37","ankyrin repeat domain-containing protein 37|hLrp2bp|low density lipoprotein receptor-related protein binding protein|low-density lipoprotein receptor-related protein 2-binding protein"
"BMP8A","","bone morphogenetic protein 8a","BMP-8A|bone morphogenetic protein 8A"
"IGL","IGL@C6, IGL","immunoglobulin lambda locus","ig lambda-6 chain C region|immunoglobulin lambda gene cluster"
"LILRA5","CD85, CD85F, ILT-11, ILT11, LILRB7, LIR-9, LIR9","leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5","CD85 antigen-like family member F|immunoglobulin-like transcript 11 protein|leukocyte Ig-like receptor 9|leukocyte immunoglobulin-like receptor 9|leukocyte immunoglobulin-like receptor subfamily A member 5|leukocyte immunoglobulin-like receptor subfamily A member 5 soluble|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 7"
"IGLC1","IGLC","immunoglobulin lambda constant 1 (Mcg marker)","C1 segment|immunoglobulin lambda constant region 1 (Mcg marker)"
"KLK3","APS, KLK2A1, PSA, hK3","kallikrein-related peptidase 3","P-30 antigen|gamma-seminoprotein|kallikrein-3|prostate specific antigen|prostate-specific antigen|semenogelase|seminin"
"IGLL1","14.1, AGM2, CD179b, IGL1, IGL5, IGLJ14.1, IGLL, IGO, IGVPB, VPREB2","immunoglobulin lambda-like polypeptide 1","CD179 antigen-like family member B|CD179b antigen|Pre-B lymphocyte-specific protein-2|ig lambda-5|immunoglobulin omega polypeptide chain|immunoglobulin-related 14.1 protein|immunoglobulin-related protein 14.1|lambda5"
"IGSF1","CHTE, IGCD1, IGDC1, INHBP, PGSF2, p120","immunoglobulin superfamily, member 1","immunoglobulin superfamily member 1|immunoglobulin-like domain-containing protein 1|inhibin-binding protein|pituitary gland-specific factor 2"
"IHH","BDA1, HHG2","indian hedgehog","HHG-2|Indian hedgehog homolog|indian hedgehog protein"
"IK","CSA2, RED","IK cytokine, down-regulator of HLA II","IK factor|RD element|chondrosarcoma-associated protein 2|cytokine IK|prer protein|protein Red"
"FAS","ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS","Fas cell surface death receptor","APO-1 cell surface antigen|CD95 antigen|Delta Fas/APO-1/CD95|FAS 827dupA|FAS receptor variant 9|FASLG receptor|Fas (TNF receptor superfamily, member 6)|Fas AMA|TNF receptor superfamily member 6|apoptosis antigen 1|apoptosis-mediating surface antigen FAS|tumor necrosis factor receptor superfamily member 6|tumor necrosis factor receptor superfamily, member 6"
"IKBKB","IKK-beta, IKK2, IKKB, IMD15, NFKBIKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta","I-kappa-B kinase 2|I-kappa-B-kinase beta|IKK-B|inhibitor of nuclear factor kappa-B kinase subunit beta|nuclear factor NF-kappa-B inhibitor kinase beta"
"IL1A","IL-1A, IL1, IL1-ALPHA, IL1F1","interleukin 1, alpha","IL-1 alpha|hematopoietin-1|interleukin-1 alpha|preinterleukin 1 alpha|pro-interleukin-1-alpha"
"IL1B","IL-1, IL1-BETA, IL1F2","interleukin 1, beta","IL-1 beta|catabolin|interleukin-1 beta|preinterleukin 1 beta|pro-interleukin-1-beta"
"IL1R1","CD121A, D2S1473, IL-1R-alpha, IL1R, IL1RA, P80","interleukin 1 receptor, type I","CD121 antigen-like family member A|IL-1R-1|IL-1RT-1|IL-1RT1|interleukin 1 receptor alpha, type I|interleukin-1 receptor alpha|interleukin-1 receptor type 1|interleukin-1 receptor type I"
"IL1RAP","C3orf13, IL-1RAcP, IL1R3","interleukin 1 receptor accessory protein","IL-1 receptor accessory protein|IL-1R3|interleukin-1 receptor 3|interleukin-1 receptor accessory protein|interleukin-1 receptor accessory protein beta"
"IL1RN","DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4","interleukin 1 receptor antagonist","IL1 inhibitor|IL1RN (IL1F3)|interleukin-1 receptor antagonist protein|intracellular IL-1 receptor antagonist type II|intracellular interleukin-1 receptor antagonist (icIL-1ra)|type II interleukin-1 receptor antagonist"
"IL2","IL-2, TCGF, lymphokine","interleukin 2","T cell growth factor|aldesleukin|interleukin-2|involved in regulation of T-cell clonal expansion"
"IL2RA","CD25, IDDM10, IL2R, TCGFR, p55","interleukin 2 receptor, alpha","IL-2 receptor subunit alpha|IL-2R subunit alpha|TAC antigen|interleukin-2 receptor subunit alpha"
"IL2RB","CD122, IL15RB, P70-75","interleukin 2 receptor, beta","CD122 antigen|IL-2 receptor subunit beta|IL-2R subunit beta|IL-2RB|high affinity IL-2 receptor beta subunit|high affinity IL-2 receptor subunit beta|interleukin 15 receptor, beta|interleukin-2 receptor subunit beta|p75"
"FASLG","ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6","Fas ligand (TNF superfamily, member 6)","CD95 ligand|apoptosis (APO-1) antigen ligand 1|apoptosis antigen ligand|fas antigen ligand|tumor necrosis factor ligand superfamily member 6"
"IL2RG","CD132, CIDX, IL-2RG, IMD4, P64, SCIDX, SCIDX1","interleukin 2 receptor, gamma","CD132 antigen|IL-2 receptor subunit gamma|IL-2R subunit gamma|common cytokine receptor gamma chain|cytokine receptor common subunit gamma|gammaC"
"IL3","IL-3, MCGF, MULTI-CSF","interleukin 3","P-cell stimulating factor|P-cell-stimulating factor|colony-stimulating factor, multiple|hematopoietic growth factor|interleukin-3|mast cell growth factor|mast-cell growth factor|multilineage-colony-stimulating factor|multipotential colony-stimulating factor"
"IL3RA","CD123, IL3RY, IL3RX, IL3RY, hIL-3Ra, IL3RA","interleukin 3 receptor, alpha (low affinity)","CD123 antigen|IL-3 receptor alpha SP2 isoform|IL-3 receptor subunit alpha|IL-3R subunit alpha|IL-3R-alpha|IL-3RA|interleukin-3 receptor subunit alpha"
"IL3RA","CD123, IL3RY, IL3RX, IL3RY, hIL-3Ra, IL3RA","interleukin 3 receptor, alpha (low affinity)","CD123 antigen|IL-3 receptor alpha SP2 isoform|IL-3 receptor subunit alpha|IL-3R subunit alpha|IL-3R-alpha|IL-3RA|interleukin-3 receptor subunit alpha"
"IL4","BCGF-1, BCGF1, BSF-1, BSF1, IL-4","interleukin 4","B cell growth factor 1|B_cell stimulatory factor 1|binetrakin|interleukin 4 variant 2|interleukin-4|lymphocyte stimulatory factor 1|pitrakinra"
"IL4R","CD124, IL-4RAA, IL4R","interleukin 4 receptor","IL-4 receptor subunit alpha|IL4R nirs variant 1|interleukin-4 receptor alpha chain|interleukin-4 receptor subunit alpha"
"IL5","EDF, IL-5, TRF","interleukin 5","B-cell differentiation factor I|T-cell replacing factor|colony-stimulating factor, eosinophil|eosinophil differentiation factor|interleukin-5"
"IL5RA","CD125, CDw125, HSIL5R3, IL5R","interleukin 5 receptor, alpha","CD125 antigen|IL-5 receptor subunit alpha|IL-5R subunit alpha|interleukin 5 receptor type 3|interleukin-5 receptor alpha chain|interleukin-5 receptor subunit alpha"
"IL6","BSF2, HGF, HSF, IFNB2, IL-6","interleukin 6","B-cell differentiation factor|B-cell stimulatory factor 2|BSF-2|CDF|CTL differentiation factor|IFN-beta-2|hybridoma growth factor|interferon beta-2|interferon, beta 2|interleukin BSF-2|interleukin-6"
"IL6R","CD126, IL-6R-1, IL-6RA, IL6QA, IL6RQ, gp80, IL6R","interleukin 6 receptor","CD126 antigen|IL-6 receptor subunit alpha|IL-6R 1|interleukin-6 receptor subunit alpha|membrane glycoprotein 80"
"IL6ST","CD130, CDW130, GP130, IL-6RB","interleukin 6 signal transducer","CD130 antigen|IL-6 receptor subunit beta|IL-6R subunit beta|gp130 of the rheumatoid arthritis antigenic peptide-bearing soluble form|gp130, oncostatin M receptor|interleukin receptor beta chain|interleukin-6 receptor subunit beta|membrane glycoprotein 130|membrane glycoprotein gp130|oncostatin-M receptor subunit alpha"
"IL7","IL-7","interleukin 7","interleukin-7"
"IL7R","CD127, CDW127, IL-7R-alphaA, ILRA, IL7R","interleukin 7 receptor","CD127 antigen|IL-7 receptor subunit alpha|IL-7R subunit alpha|IL-7RA|interleukin 7 receptor alpha chain|interleukin 7 receptor isoform H5-6|interleukin-7 receptor subunit alpha"
"CXCL8","GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1","chemokine (C-X-C motif) ligand 8","T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|emoctakin|granulocyte chemotactic protein 1|interleukin 8|interleukin-8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1"
"CXCR1","C-C, C-C-CKR-1, CD128, CD181, CDw128a, CKR-1, CMKAR1, IL8R1, IL8RA, IL8RBA","chemokine (C-X-C motif) receptor 1","C-X-C chemokine receptor type 1|CXC-R1|CXCR-1|IL-8 receptor type 1|IL-8R A|high affinity interleukin-8 receptor A|interleukin 8 receptor, alpha|interleukin-8 receptor type 1|interleukin-8 receptor type A"
"IL9","HP40, IL-9, P40","interleukin 9","T-cell growth factor p40|cytokine P40|homolog of mouse T cell and mast cell growth factor 40|interleukin-9|p40 T-cell and mast cell growth factor|p40 cytokine"
"CXCR2","CD182, CDw128b, CMKAR2, IL8R2, IL8RA, IL8RB","chemokine (C-X-C motif) receptor 2","C-X-C chemokine receptor type 2|CXC-R2|CXCR-2|CXCR2 gene for IL8 receptor type B|GRO/MGSA receptor|IL-8 receptor type 2|IL-8R B|chemokine (CXC) receptor 2|high affinity interleukin-8 receptor B|interleukin 8 receptor B|interleukin 8 receptor type 2|interleukin 8 receptor, beta|interleukin-8 receptor type B"
"AQP1","AQP-CHIP, CHIP28, CO","aquaporin 1 (Colton blood group)","aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin-1|aquaporin-CHIP|channel-like integral membrane protein, 28-kDa|urine water channel|water channel protein for red blood cells and kidney proximal tubule"
"IL9R","CD129, IL-9R","interleukin 9 receptor","IL-9 receptor|interleukin-9 receptor"
"IL9R","CD129, IL-9R","interleukin 9 receptor","IL-9 receptor|interleukin-9 receptor"
"IL10","CSIF, GVHDS, IL-10A, TGIF, IL10","interleukin 10","T-cell growth inhibitory factor|cytokine synthesis inhibitory factor|interleukin-10"
"IL10RA","CD210, CD210a, CDW210A, HIL-10R, IL-10R1, IL10R","interleukin 10 receptor, alpha","IL-10 receptor subunit alpha|IL-10R subunit 1|IL-10R subunit alpha|IL-10RA|interleukin-10 receptor alpha chain|interleukin-10 receptor subunit 1|interleukin-10 receptor subunit alpha"
"IL10RB","CDW210B, CRF2-4, CRFB4, D21S58, D21S66, IL-10R2","interleukin 10 receptor, beta","IL-10 receptor subunit beta|IL-10R subunit 2|IL-10R subunit beta|IL-10RB|cytokine receptor class-II CRF2-4|cytokine receptor class-II member 4|cytokine receptor family 2 member 4|cytokine receptor family II, member 4|interleukin-10 receptor subunit 2|interleukin-10 receptor subunit beta"
"IL11","AGIF, IL-11","interleukin 11","adipogenesis inhibitory factor|interleukin-11|oprelvekin"
"IL11RA","CRSDA","interleukin 11 receptor, alpha","IL-11 receptor subunit alpha|IL-11R subunit alpha|interleukin-11 receptor alpha chain|interleukin-11 receptor subunit alpha"
"AQP2","AQP-CD, WCH-CD","aquaporin 2 (collecting duct)","ADH water channel|AQP-2|aquaporin-2|aquaporin-CD|collecting duct water channel protein|water channel protein for renal collecting duct|water-channel aquaporin 2"
"IL12A","CLMF, IL-12A, NFSK, NKSF1, P35","interleukin 12A","CLMF p35|IL-12, subunit p35|IL35 subunit|NF cell stimulatory factor chain 1|NK cell stimulatory factor chain 1|cytotoxic lymphocyte maturation factor 1, p35|cytotoxic lymphocyte maturation factor 35 kDa subunit|interleukin 12, p35|interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)|interleukin-12 alpha chain|interleukin-12 subunit alpha"
"IL12B","CLMF, CLMF2, IL-12B, IMD28, IMD29, NKSF, NKSF2","interleukin 12B","CLMF p40|IL-12 subunit p40|IL12, subunit p40|NK cell stimulatory factor chain 2|cytotoxic lymphocyte maturation factor 40 kDa subunit|interleukin 12, p40|interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)|interleukin-12 beta chain|interleukin-12 subunit beta|natural killer cell stimulatory factor, 40 kD subunit"
"IL12RB1","CD212, IL-12R-BETA1, IL12RB, IMD30","interleukin 12 receptor, beta 1","IL-12 receptor beta component|IL-12 receptor subunit beta-1|IL-12R subunit beta-1|cluster of differentiation 212|interleukin-12 receptor beta-1 chain|interleukin-12 receptor subunit beta-1"
"IL12RB2","","interleukin 12 receptor, beta 2","IL-12 receptor subunit beta-2|IL-12R subunit beta-2|interleukin-12 receptor beta-2 chain|interleukin-12 receptor subunit beta-2"
"IL13","IL-13, P600","interleukin 13","interleukin-13"
